ID,Speaker,Dialogue,Video,NextScene,IsMonologue,Opt1_Text,Opt1_Target,Opt2_Text,Opt2_Target
1,카나,후훗<comma> 안녕?,Kana_Happy,,,,,
2,카나,너는…!,Kana_Suprised,,,,,
3,,화면 속에 분홍색 머리의 귀여운 소녀가 나타났다.,,,TRUE,,,,
4,카나,… 그래. 처음 만나는거 같네? 네 이름은 뭐야?,Kana_Smile,,,,,
5,,내 이름은…,,INPUT_NAME,,,,,
6,카나,{PlayerName}… 그렇구나. 좋은 이름이네!,Kana_Happy,,,,,
7,카나,정말 반가워. 나는 카나야. 우리 함께 좋은 시간 보내자!,Kana_Excited,,,,,
8,{PlayerName},어떻게 대답할까?,,CHOICE,TRUE,응 좋아!,9,글쎄...,18
9,카나,후후<comma> 좋아! 기합이 제대로 들어가있네!,Kana_Excited,,,,,
10,카나,아! {PlayerName}이(가) 오면 같이 하고 싶었던게 있어. 참참참이라고 알아?,Kana_Smile,CHOICE,,응 알아,16,아니 몰라,11
11,{PlayerName},아니<comma> 처음 들어보는데?,,,,,,,
12,카나,어머! {PlayerName}은(는) 모르는구나? 그럼 내가 설명해줄게!,Kana_Idle,,,,,
13,카나,(손을 올리며) 자<comma> 카나가 이렇게 손을 올려서 참.참.참. 이라고 할거야.,Kana_Idle,,,,,
14,카나,마지막 참을 말하고 손을 방향을 정할건데 같은 방향이면 패배<comma> 다른방향이면 네가 이기는거야!,Kana_Excited,,,,,
15,카나,좋아! (테스트 모드) 누가 이긴 걸로 할까?,Kana_Happy,CHOICE,,(테스트) 내가 이김,20,(테스트) 카나가 이김,25
16,{PlayerName},응<comma> 알고 있어.,,,,,,,
17,카나,앗<comma> 알고 있구나! 그래도 혹시 모르니까 내가 다시 알려줄게!,Kana_Suprised,JUMP_13,,,,
18,카나,후후. 괜찮아. 우린 금방 좋은 친구가 될거야!,Kana_Smile,JUMP_10,,,,
19,,(시스템 오류 방지용 빈칸),,,TRUE,,,,
20,카나,으앙~! 내가 지다니...!,Kana_Lose,,,,,
