ID,Speaker,Dialogue,Video,NextScene,IsMonologue,Opt1_Text,Opt1_Target,Opt2_Text,Opt2_Target
1,카나,......,Kana_Idle,,,,,,
2,카나,어라...?,,,,,,,
3,카나,너는…!,Kana_Suprised,,,,,,
4,,화면 속에 분홍색 머리의 귀여운 소녀가 나타났다.,,,TRUE,,,,
5,카나,… 그래. 처음 만나는거 같네? 안녕? 네 이름은 뭐야?,Kana_Smile,,,,,,
6,,내 이름은…,,INPUT_NAME,,,,,
7,카나,{PlayerName}… 그렇구나. 좋은 이름이네!,Kana_Happy,,,,,,
8,카나,정말 반가워. 나는 카나야. 우리 함께 좋은 시간 보내자!,,,,,,,
9,{PlayerName},어떻게 대답할까?,,CHOICE,TRUE,응. 좋아!,10,글쎄...,22
10,카나,좋아! 기합이 제대로 들어가있네!,Kana_Excited,,,,,,
11,카나,흐흥~.,,,,,,,
12,카나,아! {PlayerName}이(가) 오면 같이 하고 싶었던게 있어. ,Kana_Smile,,,,,,
13,카나,혹시 참<comma> 참<comma> 참! 이라고 알아?,,CHOICE,,응. 알아,20,아니. 몰라,14
14,{PlayerName},아니<comma> 처음 들어보는데?,,,,,,,
15,카나,어머! {PlayerName}은(는) 모르는구나? 그럼 내가 설명해줄게!,Kana_Idle,,,,,,
16,카나,자<comma> 카나가 이렇게 손을 올려서 참...참...참! 이라고 할거야.,,,,,,,
17,카나,마지막 참을 말하고 손을 방향을 정할건데 같은 방향이면 패배<comma> 다른방향이면 네가 이기는거야!,,,,,,,
18,카나,좋아! 그럼 해보자!,Kana_Happy,MiniGame_ChamChamCham,,,22,,28
19,{PlayerName},응<comma> 알고 있어.,,,,,,,
20,카나,앗<comma> 알고 있구나! 그래도 혹시 모르니까 내가 다시 알려줄게!,Kana_Smile,JUMP_16,,,,,
21,카나,후후. 괜찮아. 우린 금방 좋은 친구가 될거야!,Kana_Smile,JUMP_11,,,,,
22,카나,으앙~! 내가 지다니...!,Kana_Lose,,,,,,
23,{PlayerName},헉<comma> 내가 이겼네? 그럼 소원 하나 들어줘!,,,,,,,
24,카나,우으... 알겠어. 무슨 소원이야?,Kana_Sad,,,,,,
25,{PlayerName},딱밤 한 대 맞기! 이마 대.,,,,,,,
26,,당신은 카나의 이마에 가볍게 딱밤을 때렸다.,,,TRUE,,,,
27,카나,이이....!! 다음엔 안봐줘!,,JUMP_37,,,,,
28,카나,야호! 내가 이겼다! 봤지 봤지?,Kana_Win,,,,,,
29,카나,승부는 승부니까! 그럼 내 소원을 한번만 들어줘.,Kana_Excited,,,,,,
