ID,Speaker,Dialogue,Video,NextScene,IsMonologue
1,System,카나 덕분에 말문이 트인 플레이어. 학교에서 친구들이 말을 걸어온다.,,,TRUE
2,친구2,네가 플레이어야? 역시 듣던대로…,,,
3,친구3,야야!! (얼굴을 붉힌다),,,
4,친구2,큼. 아니야. 너 인스타 좀 줘봐.,,,
5,플레이어,인… 스타? 없는데… 지금 만들게.,,,
6,친구3,그럼 나중에 봐.,,,
7,플레이어,인스타라니…! 내가 이런 인싸들만 하는 sns를 하고 교환까지 하다니… 감격스러워. 크흣.,,,TRUE
8,사장,플레이어야. 너 무슨 좋은 일 있냐?,,,
9,플레이어,하하…사장님 혹시 인스타 하세요? 팔로워도 2명이나 만들었어요.,,,
10,사장,하… 플레이어야. 이상한 종교에는 빠지지 마라.,,,
11,손님,사장님~ 저희 광어 2접시<comma> 방어 2접시<comma> 연어 뱃살 2접시 주세요~,,,
12,플레이어,방어… 연어 두 접시… 넵! 더..더… 필요하신 건… 없으시죠?,,,
13,손님,저는… 당신의 인스타요 ☆,,,
14,플레이어,헤헤… 저 인스타 있어요! 오늘 깔았거든요!,,,
15,손님,아… 네. 핸드폰 줘보세요. 저랑 맞팔해요,,,
16,System,이 뒤로 인싸가 되어서 카나와 소홀해졌다…,,,TRUE
17,카나,플레이어…? 플레이어.. 맞지? 오랜만이네<comma> 카나!,Kana_Sad,,
18,플레이어,미안해. 네 덕분에 다른 친구들을 사귀어서 노느라고 바빴어.,,,
19,카나,뭐…? 나말고 다른친구를 사귀었다고?,Kana_Shock,,
20,플레이어,응! 네가 말한대로 하니까 통하더라고. 네가 아니었으면 난 변하지 못했을거야.,,,
21,카나,그렇…구나. 그래. 우웅… 정말이지! 자주자주 와달라고! 심심하다구!,Kana_Pout,,
22,플레이어,하하. 알겠어 알겠어.,,,
23,카나,나랑 놀아야지~~ 플레이어.,Kana_Clingy,,
