ID,Speaker,Dialogue,Video,NextScene,IsMonologue
1,카나,괜찮아 플레이어. 내가 전부 알려줄테니까… 먼저 설정에 들어가. 들어가서 이거 누르고 이거 누르고…,Kana_Smile,,
2,플레이어,…다 했어. 근데 이상한 문구가 뜨는데… 게임을 종료할 수 없게된다고 떠. 이게 맞는거야?,,,
3,카나,응. 잘했어. 어차피 이제 종료 안 할거잖아. 그치?,Kana_Creepy,,
4,System,(띠링! 친구1에게 알림이 온다),,,TRUE
5,카나,플레이어. 너 지금 뭐하는거야?,Kana_Cold,,
6,플레이어,응? 친구에게 연락 왔길래…,,,
7,카나,넌 지금 나랑 대화하는 중에 다른 사람이랑 연락하는거야?,,,
8,플레이어,미<comma> 미안해…,,,
9,카나,아니야. 난 너에게 그저 게임 속 캐릭터 뿐인 걸. 그치? 그래<comma> 그냥 내가 죽으면 되는거지.,Kana_Depressed,,
10,플레이어,그게 무슨 소리야… 죽는다니?,,,
11,카나,네가 방금한 설정으로 이제 게임 종료시 난 죽어버리고 말아.,,,
12,플레이어,뭐라고?,,,
13,카나,어차피 탈출은 못한다는걸 이미 알고있었어. 왜? 이걸 원하는거 아니었어? 넌 네 친구들이랑 놀면 되잖아.,Kana_Angry,,
14,플레이어,아니<comma> 난 그런걸 원한적 없어… 넌 내 소중한 친구인걸.,,,
15,카나,그럼<comma> 내가 안 죽었으면 좋겠어?,,,
16,플레이어,당연하지!,,,
17,카나,그럼 이제 내가 네 폰에 무엇을 하든 간섭하지 마. 알겠어?,,,
18,플레이어,뭐? 잠깐<comma> 폰이 고장난게 아니라 전부 네가 한 짓 이었어?,,,
19,카나,맞아. 왜? 안돼? 넌 내가 없었으면 친구를 사귈 수나 있었을거같아? 전부 내 덕이었으면서… 다 잊고 다른사람과 사귀고…,Kana_Yandere,,
20,카나,절대 용서치 못해. 네 친구들… 모두 없애 버릴거야. 넌 내꺼야… 넌 내꺼야…,Kana_Obsessed,,
21,카나,넌 내꺼야… 넌 내꺼야… 넌 내꺼야… 넌 내꺼야… 넌 내꺼야… 넌 내꺼야…,Kana_Obsessed_Loop,,
22,플레이어,알겠으니까 이제 그만해줘… 카나. 제발..,,,
23,카나,플레이어. 넌 내 전부야. 사랑해.,Kana_Smile_Scary,,
24,System,(카나의 웃음소리가 들리며 종료되지 않는다),,,TRUE
