ID,Speaker,Dialogue,Video,NextScene,IsMonologue
1,카나,괜찮아<comma> 플레이어. 내가 방법을 알아. 그건… 네 몸을 빌려주면 돼.,Kana_Serious,,
2,플레이어,뭐..? 내 몸을? 그게 무슨 말이야?,,,
3,카나,내가 그동안 이런저런 방법들을 알아보았는데<comma> 이게 유일한 해답이었어. 게임을 켠 채로 하루동안 나와 함께 잠을 자면 몸을 빌려줄수 있어.,Kana_Explain,,
4,플레이어,그건 곤란해. 그러면 내 영혼은 어떻게 되는건데?,,,
5,카나,잠깐 잠을 자는 것 뿐이야. 괜찮아. 네가 원한다면 다시 돌아올 수 있어. 부탁이야… 제발… 힘들다면 하루만이라도<comma> 딱 하루만이라도 나가게 해줘.,Kana_Begging,,
6,플레이어,하아…그래<comma> 알겠어. 내가 도와줄게.,,,
7,카나,정말…? 정말이지?,Kana_Excited,,
8,플레이어,하지만 딱 하루만이야. 그 이상은… 나도 곤란해. 알지?,,,
9,카나,응<comma> 알겠어! 고마워!,Kana_Happy,,
10,System,밤이 지났다.,,,TRUE
11,카나,이거야… 이거라고…! 플레이어<comma> 정말 고마워.,Kana_RealBody,,
12,플레이어,(어… 잠깐. 나는 게임속에… 들어온거같은데? 카나<comma> 이게 어떻게 된거야?),,,TRUE
13,카나,이제 이 몸으로 맛있는 것도 먹고<comma> 쇼핑도 하고<comma> 원하는거 다 할 거야! (방방 뛰다가 넘어진다),Kana_Jump,,
14,플레이어,헉<comma> 카나 괜찮아? 안다쳤어?,,,
15,카나,아<comma> 아야…. 하… 하하. 그래 이거야… 이 감각… 그리웠어… 안 되겠어. 바깥에 나가봐야겠어.,Kana_CreepySmile,,
16,플레이어,카나<comma> 잠깐. 다시 돌아올거지…?,Kana_Screen,,
17,카나,후훗. (문 밖으로 나간다),,,
18,System,TitleScene으로 돌아갑니다.,,TitleScene,TRUE
