ID,Speaker,Dialogue,Video,NextScene,IsMonologue
1,카나,괜찮아<comma> 플레이어. 내가 방법을 알아. …하지만… 네가 어떻게 생각할지 모르겠네.,Kana_SadSmile,,
2,플레이어,난<comma> 네가 행복할수만 있다면 뭐든 좋아. 알려줘. 난 이미 각오가 되어있어.,,,
3,카나,여기. 이건 삭제버튼이야. 네가 이걸 눌러주면 난 이제 영영 사라질 수 있어.,Kana_Serious,,
4,플레이어,그건 안 돼. 넌 나가고 싶은게 아니었어? 분명 방법이 있을거야. 내가 알아볼게.,,,
5,카나,괜찮아. 난 너를 만난 것만으로 행복했는걸. 플레이어<comma> 이제 나를 놓아줘. 자<comma> 어서. 눌러줘.,Kana_Crying,,
6,플레이어,카나… 안돼…!,,,
7,카나,자<comma> 어서.,,,
8,플레이어,으흑… 미안해… 정말 미안해…,,,
9,카나,(눈물을 흘리며) 플레이어. 괜찮아.,Kana_Tears,,
10,System,카나가 플레이어의 이마에 키스를 한다. 카나의 몸이 점점 투명해진다.,,,TRUE
11,카나,사랑해.,Kana_FadeOut,,
12,플레이어,…나도.,,,
13,System,TitleScene으로 돌아갑니다.,,TitleScene,TRUE
