ID,Speaker,Dialogue,Video,NextScene,IsMonologue,Opt1_Text,Opt1_Target,Opt2_Text,Opt2_Target
1,카나,어라...?,Kana_Idle,,,,,,
2,카나,너는…!,Kana_Suprised,,,,,,
3,,화면 속에 분홍색 머리의 귀여운 소녀가 나타났다.,,,TRUE,,,,
4,카나,… 그래. 처음 만나는거 같네? 안녕? 네 이름은 뭐야?,Kana_Smile,,,,,,
5,,내 이름은…,,INPUT_NAME,,,,,
6,카나,{PlayerName}… 그렇구나. 좋은 이름이네!,Kana_Happy,,,,,,
7,카나,정말 반가워. 나는 카나야. 우리 함께 좋은 시간 보내자!,,,,,,,
8,{PlayerName},어떻게 대답할까?,,CHOICE,TRUE,응 좋아!,9,글쎄...,18
9,카나,후후<comma> 좋아! 기합이 제대로 들어가있네!,Kana_Excited,,,,,,
10,카나,아! {PlayerName}이(가) 오면 같이 하고 싶었던게 있어. 참참참이라고 알아?,Kana_Smile,CHOICE,,응 알아,16,아니 몰라,11
11,{PlayerName},아니<comma> 처음 들어보는데?,,,,,,,
12,카나,어머! {PlayerName}은(는) 모르는구나? 그럼 내가 설명해줄게!,Kana_Idle,,,,,,
13,카나,자<comma> 카나가 이렇게 손을 올려서 참.참.참. 이라고 할거야.,,,,,,,
14,카나,마지막 참을 말하고 손을 방향을 정할건데 같은 방향이면 패배<comma> 다른방향이면 네가 이기는거야!,,,,,,,
15,카나,좋아! (테스트 모드) 누가 이긴 걸로 할까?,Kana_Happy,CHOICE,,(테스트) 내가 이김,20,(테스트) 카나가 이김,25
16,{PlayerName},응<comma> 알고 있어.,,,,,,,
17,카나,앗<comma> 알고 있구나! 그래도 혹시 모르니까 내가 다시 알려줄게!,Kana_Smile,JUMP_13,,,,,
18,카나,후후. 괜찮아. 우린 금방 좋은 친구가 될거야!,Kana_Smile,JUMP_10,,,,,
19,,(시스템 오류 방지용 빈칸),,,TRUE,,,,
20,카나,으앙~! 내가 지다니...!,Kana_Lose,,,,,,
21,{PlayerName},헉<comma> 내가 이겼네? 그럼 소원 하나 들어줘!,,,,,,,
22,카나,우으... 알겠어. 무슨 소원이야?,Kana_Sad,,,,,,
23,{PlayerName},딱밤 한 대 맞기! 이마 대.,,,,,,,
24,,당신은 카나의 이마에 가볍게 딱밤을 때렸다.,,JUMP_34,TRUE,,,,
25,카나,야호! 내가 이겼다! 봤지 봤지?,Kana_Win,,,,,,
26,카나,승부는 승부니까! 그럼 내 소원을 한번만 들어줘.,Kana_Excited,,,,,,
27,{PlayerName},뭐...? 뭐. 어려운 것만 아니라면...,,,,,,,
28,카나,{PlayerName}<comma> 후훗. 그럼 얼굴을 화면에 가까이 해줄래?,Kana_Smile,,,,,,
29,,(자이로 센서 인식 중...),,,TRUE,,,,
30,,카나가 당신의 머리에 딱밤을 놓았다!,,,TRUE,,,,
31,카나,뭘 기대한거야?! 바-보.,Kana_Smile,,,,,,
32,{PlayerName},이건 내 벌칙인거 같은데…,,,,,,,
33,카나,약속 지켜줘서 고마워!,Kana_Happy,,JUMP_34,,,,
34,카나,흐흥~ 그럼 이제 뭐하고 놀까? 아<comma> 아직 너의 얘기를 많이 듣지 못한거 같아.,Kana_Idle,,,,,,
35,카나,너의 얘기를 들려줘!,,,,,,,
36,{PlayerName},나는… 음… 그러니까…,,,,,,,
37,카나,후훗<comma> 그럼 내가 먼저 얘기할까? 내 이름이 카나라는건 말했고… 나이는 23살이야!,Kana_Smile,,,,,,
38,카나,뭐야<comma> 그 표정은? 내가 23살로 안보인다는거야?! 정말이지… (뿌),Kana_Angry,,,,,,
